"id","x","y","z","grupo","tiempo","y_log"
1,62.9708649538132,127.876748800514,109.004694852126,"A",1,4.85885651198716
2,52.1348492831344,142.773040352584,78.794870599544,"B",2,4.96823594754751
3,42.1853782086587,84.4523697877744,85.7028285804484,"C",3,4.44795914221127
4,45.0902547184405,89.3416724763423,89.4622769211481,"A",4,4.50359884318706
5,35.370986900644,48.5390782855031,105.220776278158,"B",5,3.90276181842796
6,41.7572870574627,115.387910283727,109.146047401648,"C",6,4.75692866636128
7,31.8842783663357,40.2158065138245,110.768971147354,"A",7,3.71882183602756
8,51.8641652116598,128.777240478863,124.756675465515,"B",8,4.86581944589764
9,49.7068976376833,98.3024516523215,93.57059943199,"C",9,4.59817026009501
10,55.0261035544771,126.545046804109,130.767900745436,"A",10,4.84846961046733
11,56.9138375271918,91.0059347164511,111.988786651859,"B",11,4.52185308275601
12,45.9684522090367,95.1235002587507,89.8332714431832,"C",12,4.56563382571451
13,64.0455529091781,132.595463227758,85.7813418932867,"A",13,4.8948163026499
14,48.3553067362702,116.072271591727,102.529041449606,"B",14,4.76279145000818
15,56.8296820258399,67.825313790833,73.2515939716331,"C",15,4.23157161027484
16,59.9984307553229,122.096287153677,113.614742178377,"A",16,4.8129668715144
17,41.84285456987,76.2242467035096,112.286740616739,"B",17,4.34671348418937
18,59.4130016161346,118.322922954892,86.3956268144107,"C",18,4.78183345611898
19,55.1895400259307,104.11812997738,110.210205117679,"A",19,4.65508476516958
20,48.4859385588348,117.646424512053,101.058948836667,"B",20,4.7761478476789
21,46.6862649207148,90.8640860795879,113.846649766345,"C",21,4.52031015950632
22,40.8333671272591,78.6460689782265,140.488706758768,"A",22,4.37759268144354
23,50.6682130825435,115.08029668886,91.0264826404063,"B",23,4.75428216447256
24,45.2013887828255,115.917425247435,97.4461284232441,"C",24,4.76146791851096
25,58.0476649069055,109.168315078213,100.960955700769,"A",25,4.70200933340016
26,51.9483443016385,100.417102391293,104.399580216143,"B",26,4.61924173957116
27,50.2567713207076,104.089765673595,87.9775534759319,"C",27,4.6548148961062
28,48.4674201945138,87.476845863867,82.4442178039439,"A",28,4.48274088912627
29,45.7812400370014,84.9696277553433,112.696384003511,"B",29,4.45399406824029
30,57.12687192718,138.328252600984,124.166487327151,"C",30,4.93683267860556
31,55.1860811730617,125.311712462064,94.4923593249947,"A",31,4.83875276030671
32,46.4204946289366,89.1457158538472,103.119472141148,"B",32,4.50142742610021
33,47.3037406501072,81.6268629556744,140.419993361009,"C",33,4.41433484503627
34,53.2283218054183,115.061303424891,89.0761928013539,"A",34,4.75411852931194
35,32.6972427506691,82.4551767691116,68.6376267244732,"B",35,4.424309682565
36,36.6283093298174,88.8480789957617,98.5203262184713,"C",36,4.49812023287593
37,37.5043331568797,70.6261463578833,125.361377442255,"A",37,4.27146017990345
38,48.6808651692315,93.8057492627991,107.429630086972,"B",38,4.55183005365413
39,53.7630477370591,100.046874939576,96.6964584026957,"C",39,4.61558451748894
40,50.7542527776961,93.4363723819364,89.2488113678468,"A",40,4.54792629959832
41,65.3181233890692,129.941855895943,99.611471509844,"B",41,4.87475337654885
42,29.9883054205731,50.981315309359,119.556649885459,"C",42,3.95088433303631
43,54.927037631164,89.9227728617815,104.403149438512,"A",43,4.51001049633915
44,40.0097167958266,73.0312710401306,110.411478701099,"B",44,4.30448758556509
45,51.7700562241498,85.9011192149444,120.590419486073,"C",45,4.46477091153184
46,66.8618490515126,141.71729854046,92.5398925236189,"A",46,4.96086574026452
47,40.935973078214,96.1107646952039,93.4312166682991,"B",47,4.57585223110109
48,43.6989661724156,99.4413539869961,99.4758232228756,"C",48,4.60957401475404
49,62.0986840700332,120.09813207796,63.5894934052878,"A",49,4.79660122581548
50,52.7454961882674,134.634890458982,87.6648043886902,"B",50,4.90996664667901
51,34.4917249598837,52.1493779818519,107.139108845554,"C",51,3.9731064016499
52,44.0744814556281,105.445031387134,134.612983303451,"A",52,4.66762871469481
53,61.1006279287635,122.383161830054,116.671826844817,"B",53,4.81529465021642
54,53.7057713303184,99.0337514590134,134.587197848071,"C",54,4.60550764363299
55,43.0614704617303,61.3699361308264,95.7918433983786,"A",55,4.13308336650073
56,33.4537731341299,70.5073400696027,84.5832757508489,"B",56,4.26980010274708
57,62.5819167588294,114.899539902675,110.841998623164,"C",57,4.75272378055935
